ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
KNA,https://data.humdata.org/dataset/cod-ab-kna,cod-standard,OCHA Field Information Services Section (FISS),14,,,,False,https://data.humdata.org/dataset/cod-ps-kna,cod-enhanced,UNFPA,True,,,
LCA,https://data.humdata.org/dataset/cod-ab-lca,cod-standard,OCHA Field Information Services Section (FISS),10,547,,,False,https://data.humdata.org/dataset/cod-ps-lca,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
MAF,https://data.humdata.org/dataset/cod-ab-maf,cod-enhanced,OCHA Field Information Services Section (FISS),,,,,True,https://data.humdata.org/dataset/cod-ps-maf,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,https://data.humdata.org/dataset/cod-em-maf,cod-enhanced,True
VCT,https://data.humdata.org/dataset/cod-ab-vct,cod-enhanced,OCHA Field Information Services Section (FISS),6,13,,,False,https://data.humdata.org/dataset/cod-ps-vct,cod-enhanced,UNFPA,True,,,
STP,https://data.humdata.org/dataset/cod-ab-stp,cod-standard,OCHA West and Central Africa (ROWCA),2,8,,,False,https://data.humdata.org/dataset/cod-ps-stp,cod-enhanced,UNFPA,True,,,
SAU,https://data.humdata.org/dataset/cod-ab-sau,cod-enhanced,OCHA Middle East and North Africa (ROMENA),13,,,,True,,,,,,,
SEN,https://data.humdata.org/dataset/cod-ab-sen,cod-enhanced,OCHA West and Central Africa (ROWCA),14,46,125,,False,https://data.humdata.org/dataset/cod-ps-sen,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-sen,cod-enhanced,False
SYC,https://data.humdata.org/dataset/cod-ab-syc,cod-standard,OCHA Regional Office for Southern and Eastern Africa (ROSEA),4,8,27,,False,https://data.humdata.org/dataset/cod-ps-syc,cod-standard,OCHA Regional Office for Southern and Eastern Africa (ROSEA),False,,,
SLE,https://data.humdata.org/dataset/cod-ab-sle,cod-enhanced,OCHA West and Central Africa (ROWCA),5,16,167,1316,True,https://data.humdata.org/dataset/cod-ps-sle,cod-standard,OCHA West and Central Africa (ROWCA),True,https://data.humdata.org/dataset/cod-em-sle,cod-enhanced,True
SXM,https://data.humdata.org/dataset/cod-ab-sxm,cod-enhanced,OCHA Field Information Services Section (FISS),8,,,,True,https://data.humdata.org/dataset/cod-ps-sxm,cod-standard,OCHA Field Information Services Section (FISS),False,https://data.humdata.org/dataset/cod-em-sxm,cod-enhanced,True
SVK,https://data.humdata.org/dataset/cod-ab-svk,cod-enhanced,OCHA Field Information Services Section (FISS),8,79,,,True,https://data.humdata.org/dataset/cod-ps-svk,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-svk,cod-enhanced,True
SLB,https://data.humdata.org/dataset/cod-ab-slb,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),10,50,183,,False,https://data.humdata.org/dataset/cod-ps-slb,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),False,,,
SOM,https://data.humdata.org/dataset/cod-ab-som,cod-enhanced,OCHA Field Information Services Section (FISS),18,74,,,True,https://data.humdata.org/dataset/cod-ps-som,cod-standard,OCHA Somalia,False,https://data.humdata.org/dataset/cod-em-som,cod-enhanced,True
ZAF,https://data.humdata.org/dataset/cod-ab-zaf,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),9,52,213,4392,True,https://data.humdata.org/dataset/cod-ps-zaf,cod-enhanced,UNFPA,True,,,
LKA,https://data.humdata.org/dataset/cod-ab-lka,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),9,25,339,14043,True,https://data.humdata.org/dataset/cod-ps-lka,cod-enhanced,UNFPA,True,,,
SSD,https://data.humdata.org/dataset/cod-ab-ssd,cod-enhanced,OCHA South Sudan,10,79,512,,True,https://data.humdata.org/dataset/cod-ps-ssd,cod-standard,OCHA South Sudan,False,,,
SDN,https://data.humdata.org/dataset/cod-ab-sdn,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),19,189,,,True,https://data.humdata.org/dataset/cod-ps-sdn,cod-enhanced,UNFPA,True,,,
SUR,https://data.humdata.org/dataset/cod-ab-sur,cod-standard,OCHA Field Information Services Section (FISS),10,62,,,False,https://data.humdata.org/dataset/cod-ps-sur,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
SWZ,https://data.humdata.org/dataset/cod-ab-swz,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),4,55,,,True,https://data.humdata.org/dataset/cod-ps-swz,cod-enhanced,UNFPA,True,,,
SYR,https://data.humdata.org/dataset/cod-ab-syr,cod-enhanced,OCHA Syria,14,62,272,,True,,,,,,,
TJK,https://data.humdata.org/dataset/cod-ab-tjk,cod-standard,OCHA Middle East and North Africa (ROMENA),5,76,,,False,https://data.humdata.org/dataset/cod-ps-tjk,cod-standard,UNFPA,False,,,
TZA,https://data.humdata.org/dataset/cod-ab-tza,cod-standard,OCHA ROSA (inactive),31,170,3643,,False,https://data.humdata.org/dataset/cod-ps-tza,cod-enhanced,UNFPA,True,,,
THA,https://data.humdata.org/dataset/cod-ab-tha,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),77,928,7425,,True,https://data.humdata.org/dataset/cod-ps-tha,cod-enhanced,UNFPA,True,,,
TLS,https://data.humdata.org/dataset/cod-ab-tls,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),13,65,442,,True,https://data.humdata.org/dataset/cod-ps-tls,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),True,,,
TGO,https://data.humdata.org/dataset/cod-ab-tgo,cod-enhanced,OCHA West and Central Africa (ROWCA),5,40,373,,True,https://data.humdata.org/dataset/cod-ps-tgo,cod-standard,UNFPA,False,https://data.humdata.org/dataset/cod-em-tgo,cod-enhanced,True
