ISO,COD-UID,contributor,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
GMB,cod-ps-gmb,OCHA West and Central Africa (ROWCA),,gmb_popadm_2021_admin1.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
GRD,cod-ps-grd,OCHA Latin America and the Caribbean (ROLAC),,grd_admpop_adm0_2011_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
GRD,cod-ps-grd,OCHA Latin America and the Caribbean (ROLAC),,grd_admpop_adm1_2011_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
GTM,cod-ps-gtm,UNFPA,,gtm_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_ES,T_TL,,
GTM,cod-ps-gtm,UNFPA,,gtm_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_ES, ADM0_ES",T_TL,,
GTM,cod-ps-gtm,UNFPA,,gtm_admpop_adm2_2022.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM1_ES, ADM2_ES, ADM0_ES",T_TL,,
GUF,cod-ps-guf,OCHA Latin America and the Caribbean (ROLAC),,guf_admpop_adm0_insee_2016_v2.csv,ADM0_PCODE,NAME_0,T_TL,,
GUF,cod-ps-guf,OCHA Latin America and the Caribbean (ROLAC),,guf_admpop_adm1_insee_2016_v2.csv,"ADM1_PCODE, ADM0_PCODE","NAME_1, NAME_0",T_TL,,
GUF,cod-ps-guf,OCHA Latin America and the Caribbean (ROLAC),,guf_admpop_adm2_insee_2016_v3.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM2_FR, ADM0_FR, ADM1_FR",T_TL,,
GUY,cod-ps-guy,UNFPA,,guy_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
GUY,cod-ps-guy,UNFPA,,guy_admpop_adm1_2021.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
HND,cod-ps-hnd,UNFPA,,hnd_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_ES,T_TL,,
HND,cod-ps-hnd,UNFPA,,hnd_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_ES, ADM0_ES",T_TL,,
HND,cod-ps-hnd,UNFPA,,hnd_admpop_adm2_2022.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM1_ES, ADM2_ES, ADM0_ES",T_TL,,
HTI,cod-ps-hti,OCHA Field Information Services Section (FISS),,hti_admpop_adm1_2022.csv,"adm0code, adm1code","adm0_fr, adm1_fr",Population,,
HTI,cod-ps-hti,OCHA Field Information Services Section (FISS),,hti_admpop_adm2_2022.csv,"code_iso3, adm1code, adm2code","adm0_fr, adm2_fr, adm1_fr",Population,,
HUN,cod-ps-hun,UNFPA,,hun_admpop_adm0_2022_v01.csv,ADM0_PCODE,ADM0_EN,T_TL,,
HUN,cod-ps-hun,UNFPA,,hun_admpop_adm1_2022_v01.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_HU, ADM0_EN",T_TL,,
IDN,cod-ps-idn,UNFPA,,idn_admpop_adm0_2020_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
IDN,cod-ps-idn,UNFPA,,idn_admpop_adm1_2020_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
IDN,cod-ps-idn,UNFPA,,idn_admpop_adm2_2020_v3.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
IRN,cod-ps-irn,OCHA Middle East and North Africa (ROMENA),,irn_admpop_adm0_2019_v2.csv,ADM0_PCODE,"ADM0_EN, ADM0_FA",T_TL,,
IRN,cod-ps-irn,OCHA Middle East and North Africa (ROMENA),,irn_admpop_adm1_2019_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN, ADM0_FA, ADM1_FA",T_TL,,
IRN,cod-ps-irn,OCHA Middle East and North Africa (ROMENA),,irn_admpop_adm2_2019_v2.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM1_FA, ADM0_FA, ADM2_FA",T_TL,,
JAM,cod-ps-jam,OCHA Latin America and the Caribbean (ROLAC),,jam_adm0_pop_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
JAM,cod-ps-jam,OCHA Latin America and the Caribbean (ROLAC),,jam_adm1_pop_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
KAZ,cod-ps-kaz,UNFPA,,kaz_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
KAZ,cod-ps-kaz,UNFPA,,kaz_admpop_adm1_2021.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
KEN,cod-ps-ken,UNFPA,,ken_admpop_adm0_2019.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
KEN,cod-ps-ken,UNFPA,,ken_admpop_adm1_2019.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
KGZ,cod-ps-kgz,OCHA ROCCA (Closed),,kyrgyzstan_population_statistics_2018_adm1_v2.csv,"admin0Pcode, admin1Pcode","admin1Type_ru, admin1Name_ru, admin1Type_ky, admin1Name_ky, admin1Name_en, admin1Type_en",T_TL,,
KGZ,cod-ps-kgz,OCHA ROCCA (Closed),,kyrgyzstan_population_statistics_2018_adm2_v2.csv,"admin0Pcode, admin1Pcode, admin2Pcode","admin2Name_en, admin2Type_ru, admin1Name_ru, admin2Type_en, admin2Type_ky, admin1Name_en, admin2Name_ru",T_TL,,
KHM,cod-ps-khm,UNFPA,,khm_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
KHM,cod-ps-khm,UNFPA,,khm_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
KHM,cod-ps-khm,UNFPA,,khm_admpop_adm0_2016_v1.csv,ADM0_PCODE,ADM0_EN,T_TL,,
KHM,cod-ps-khm,UNFPA,,khm_admpop_adm1_2016_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
KIR,cod-ps-kir,UNFPA,,kir_admpop_adm0_2020.csv,ADM0_PCODE,ADM0_EN,T_TL,,
KIR,cod-ps-kir,UNFPA,,kir_admpop_adm1_2020.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
KIR,cod-ps-kir,UNFPA,,kir_admpop_adm2_2020.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
KNA,cod-ps-kna,UNFPA,,kna_admpop_adm0_2000_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
KNA,cod-ps-kna,UNFPA,,kna_admpop_adm1_2000_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
LAO,cod-ps-lao,UNFPA,,lao_admpop_adm0_2020_v2.csv,ADM0_PCODE,"ADM0_EN, ADM0_LO",T_TL,,
LAO,cod-ps-lao,UNFPA,,lao_admpop_adm1_2020_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM2_LO, ADM0_EN, ADM1_EN, ADM0_LO",T_TL,,
LAO,cod-ps-lao,UNFPA,,lao_admpop_adm2_2020_v2.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_LO, ADM0_EN, ADM2_EN, ADM1_EN, ADM2_LO",T_TL,,
LBR,cod-ps-lbr,OCHA West and Central Africa (ROWCA),,lbr_admpop_adm0_2020_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
